,vader_adjs,vader_verbs
0,naive,discontent
1,astound,hide
2,ironic,terrify
3,melancholic,abandon
4,robust,astound
5,grateful,moan
6,trivial,support
7,excited,deprive
8,cocky,expose
9,mandatory,leave
10,ambitious,sparkle
11,bittern,champaign
12,charmless,warmongere
13,blessed,scarey
14,coward,joyride
15,lowlight,reek
16,relentless,contradict
17,traumatic,richene
18,egotistical,brutalise
19,appreciative,optimise
20,definite,gloome
21,agreeable,marvel
22,lucky,disappoint
23,intimidatory,visione
24,fortunate,save
25,stressful,warmhearte
26,unkind,undeserve
27,freeboards,despise
28,dreadnought,rejoice
29,favorite,dreadnought
30,tricky,favorite
31,cheerful,recommend
32,spirited,fave
33,devastative,afflict
34,audacious,fault
35,grimi,comfort
36,true,jerk
37,excitonic,poise
38,excruciating,engage
39,inadequate,dangere
40,wealthy,safekeepe
41,lackadaisical,party
42,vicious,shameface
43,lovable,charge
44,ill,energise
45,cheery,engager
46,regretful,sorrow
47,difficult,impress
48,futile,improver
49,troubling,triumph
50,scrumptious,grate
51,handsome,boreen
52,dismal,pitilessnes
53,nasty,banish
54,idiotic,fatigue
55,ignorant,expand
56,euphoric,idealise
57,harmonic,richen
58,energetic,dare
59,exclusive,cherishable
60,intelligible,gossippe
61,notorious,gossip
62,troublesome,damnify
63,exhaustible,inspire
64,stealthy,rejectee
65,optimistic,vitriolic
66,warm,rue
67,terrible,borecole
68,competitive,drop
69,silly,adventure
70,dynamometric,warm
71,careful,disagree
72,uncomfortable,bastardise
73,incapable,woo
74,flattery,celebrate
75,obnoxious,falsify
76,fascist,blam
77,foolish,force
78,solid,embarrass
79,superb,motivate
80,terrific,prejudice
81,huge,promote
82,efficient,snobbism
83,itchy,adorn
84,treasonous,rigidify
85,sorrowful,poisonwood
86,frantic,anger
87,peacefull,compliment
88,adventurous,rig
89,apocalyptic,swear
90,chic,enrage
91,perverse,breathtake
92,picturesque,admit
93,abusive,play
94,charming,fire
95,contentious,interrupt
96,impatient,restore
97,prejudicial,lurk
98,capable,hesitate
99,rigorous,advance
100,passive,aggravate
101,helpless,wow
102,useful,break
103,cruel,excitabilitie
104,incompetent,panicle
105,indifferent,cut
106,cut,prizewinne
107,likeable,benefice
108,heavenli,screw
109,bankrupt,dodgy
110,funky,smile
111,proud,traumatise
112,ruinous,detach
113,bittering,praise
114,nastic,uglify
115,disagreeable,apologize
116,lenient,arrest
117,dignified,defer
118,intellectualistic,dearer
119,dumpy,weirdoe
120,ambivalent,poison
121,uneasi,lucke
122,unattractive,glory
123,joyless,outmaneuver
124,convivial,censor
125,devilish,joke
126,opportunistic,tick
127,rebellious,fascinate
128,unlovable,deny
129,unprotected,bamboozle
130,wiseli,sue
131,guiltless,intellectualize
132,flattering,fluster
133,positive,mock
134,furious,horrify
135,special,relax
136,lunatic,revenge
137,defenseless,sadden
138,cutesi,freelance
139,blurry,dislike
140,fearful,luck
141,important,hysteric
142,merry,fight
143,worrisome,please
144,ecstatic,rapture
145,invulnerable,condemn
146,sincere,peacetime
147,weak,retain
148,fearfull,embitter
149,profitless,sabotage
150,worshipful,nag
151,joyous,improve
152,creative,misreporte
153,sinful,dismay
154,strong,pretend
155,tragical,steal
156,alarming,suck
157,attractant,win
158,strange,disguise
159,totalitarian,pressure
160,amorphous,smartene
161,uncertain,lowball
162,impotent,graver
163,slutti,disillusion
164,libertarian,hail
165,distractive,disadvantage
166,peaceful,battle
167,tragic,conflict
168,troublous,traumatize
169,respectable,suffer
170,achievable,compassionate
171,unfortunate,amuse
172,restless,betray
173,fraudulent,gloomful
174,compassionate,infect
175,impersonal,chill
176,feeble,overjoy
177,unsavory,question
178,ferocious,tense
179,laughable,harmonise
180,tense,profit
181,festive,care
182,toothless,kissy
183,affectionate,sentimentalise
184,crazy,unconfirme
185,bitchy,harmonize
186,sweet,coerce
187,worthwhile,mourn
188,painful,prepare
189,secure,restrict
190,accidental,allow
191,bashful,forgive
192,degradable,frighten
193,unsecured,block
194,dire,secure
195,humoresque,infatuate
196,dumb,teaspoonful
197,envious,shock
198,humorless,humoresque
199,ridiculous,glamorize
200,aggressive,discard
201,horrible,divinest
202,joyful,friende
203,conflictive,pressurize
204,cynic,abhor
205,offline,irritate
206,stingy,gross
207,interruptible,dehumanize
208,smartass,join
209,thoughtful,dull
210,uninvolved,respecter
211,unsupported,talente
212,gross,stutter
213,unloved,fail
214,doubtful,dumbfounder
215,dull,whine
